date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
09:39:02	253179/253179	---M--	200	added ('OK')	image/png	etag:%225658789f-3dcfb%22	http://tavern-html.axiomthemes.com/images/slider-1-slide-2-left-top.png	/home/acensjr/websites/ok/tavern-html.axiomthemes.com/images/slider-1-slide-2-left-top.png	(from http://tavern-html.axiomthemes.com/)
09:39:30	215786/215786	---M--	200	added ('OK')	image/png	etag:%22565878c7-34aea%22	http://tavern-html.axiomthemes.com/images/slider-1-slide-3-top.png	/home/acensjr/websites/ok/tavern-html.axiomthemes.com/images/slider-1-slide-3-top.png	(from http://tavern-html.axiomthemes.com/)
09:39:49	484899/484899	---M--	200	added ('OK')	image/png	etag:%22565878b1-76623%22	http://tavern-html.axiomthemes.com/images/slider-1-slide-3-bottom.png	/home/acensjr/websites/ok/tavern-html.axiomthemes.com/images/slider-1-slide-3-bottom.png	(from http://tavern-html.axiomthemes.com/)
09:40:03	683171/683171	---M--	200	added ('OK')	image/png	etag:%225658788a-a6ca3%22	http://tavern-html.axiomthemes.com/images/slider-1-slide-2-right.png	/home/acensjr/websites/ok/tavern-html.axiomthemes.com/images/slider-1-slide-2-right.png	(from http://tavern-html.axiomthemes.com/)
09:40:09	33842/33842	---M--	200	added ('OK')	image/png	etag:%22565878b8-8432%22	http://tavern-html.axiomthemes.com/images/slider-1-logo.png	/home/acensjr/websites/ok/tavern-html.axiomthemes.com/images/slider-1-logo.png	(from http://tavern-html.axiomthemes.com/)
09:40:10	1807/1807	---M--	200	added ('OK')	image/png	etag:%2256587887-70f%22	http://tavern-html.axiomthemes.com/images/slider-1-button.png	/home/acensjr/websites/ok/tavern-html.axiomthemes.com/images/slider-1-button.png	(from http://tavern-html.axiomthemes.com/)
09:40:12	30389/30389	---M-Z	200	added ('OK')	text/html	date:Mon,%2028%20Dec%202015%2011:54:33%20GMT	http://tavern-html.axiomthemes.com/index.html	/home/acensjr/websites/ok/tavern-html.axiomthemes.com/index-2.html	(from http://tavern-html.axiomthemes.com/)
09:40:13	8157/8157	---M--	200	added ('OK')	image/png	etag:%22565878bb-1fdd%22	http://tavern-html.axiomthemes.com/images/logo.png	/home/acensjr/websites/ok/tavern-html.axiomthemes.com/images/logo.png	(from http://tavern-html.axiomthemes.com/)
09:40:15	7145/7145	---M--	200	added ('OK')	image/png	etag:%22565878bb-1be9%22	http://tavern-html.axiomthemes.com/images/logo_fixed.png	/home/acensjr/websites/ok/tavern-html.axiomthemes.com/images/logo_fixed.png	(from http://tavern-html.axiomthemes.com/)
09:40:17	39322/39322	---M-Z	200	added ('OK')	text/html	date:Mon,%2028%20Dec%202015%2011:54:33%20GMT	http://tavern-html.axiomthemes.com/index2.html	/home/acensjr/websites/ok/tavern-html.axiomthemes.com/index2.html	(from http://tavern-html.axiomthemes.com/)
